verdict	reason	authoritative	engineSource	resolvedName	resolvedTarget	path
kept	-	auth-kept	program-files	seq	D:\Program Files\Git\usr\bin\seq.exe	D:\Program Files\Git\usr\bin\seq.exe
kept	-	auth-kept	program-files	IIS Express 系统托盘	C:\Program Files (x86)\IIS Express\iisexpresstray.exe	C:\Program Files (x86)\IIS Express\iisexpresstray.exe
filtered	2-excluded-name	auth-filtered	program-files	Install Cleanup Tool	C:\Program Files (x86)\Microsoft Visual Studio\Installer\InstallCleanup.exe	C:\Program Files (x86)\Microsoft Visual Studio\Installer\InstallCleanup.exe
filtered	2-excluded-name	auth-filtered	start-menu	卸载 腾讯会议	D:\Program Files (x86)\Tencent\WeMeet\3.45.10.411\WeMeetUninstall.exe	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\腾讯会议\卸载 腾讯会议.lnk
kept	-	auth-kept	program-files	看图	C:\Program Files (x86)\360\360zip\360AblumViewer.exe	C:\Program Files (x86)\360\360zip\360AblumViewer.exe
kept	-	auth-kept	program-files	Canon IJ PDF Editor	C:\Program Files (x86)\Canon\IJ Scan Utility\PDFEDITOR.exe	C:\Program Files (x86)\Canon\IJ Scan Utility\PDFEDITOR.exe
filtered	4-not-executable-target	auth-filtered	program-files	UWPAppsSamples	http://go.microsoft.com/fwlink/?LinkId=529576	C:\Program Files (x86)\Windows Kits\10\Shortcuts\UWPAppsSamples.url
kept	-	auth-kept	program-files	tiffcomment	C:\Users\17822\AppData\Local\Programs\Python\Python310\Scripts\tiffcomment.exe	C:\Users\17822\AppData\Local\Programs\Python\Python310\Scripts\tiffcomment.exe
filtered	2-excluded-name	auth-filtered	program-files	Adobe Notification Helper	C:\Program Files (x86)\Common Files\Adobe\AdobeNotificationManager\AdobeNotificationHelper.exe	C:\Program Files (x86)\Common Files\Adobe\AdobeNotificationManager\AdobeNotificationHelper.exe
filtered	2-excluded-name	auth-filtered	start-menu	Steam Support Center	http://support.steampowered.com/	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Steam\Steam Support Center.url
kept	-	auth-kept	program-files	Microsoft Edge WebView2	C:\Program Files (x86)\Microsoft\EdgeCore\152.0.4191.66\msedgewebview2.exe	C:\Program Files (x86)\Microsoft\EdgeCore\152.0.4191.66\msedgewebview2.exe
filtered	2-excluded-name	auth-filtered	program-files	Epic Online Services UI Helper	C:\Program Files (x86)\Epic Games\Epic Online Services\EpicOnlineServicesUIHelper.exe	C:\Program Files (x86)\Epic Games\Epic Online Services\EpicOnlineServicesUIHelper.exe
filtered	2-excluded-name	auth-filtered	start-menu	Uninstall Cisco Packet Tracer	D:\Program Files\Cisco Packet Tracer 8.2.2\unins000.exe	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Cisco Packet Tracer\Uninstall Cisco Packet Tracer.lnk
filtered	2-excluded-name	auth-filtered	program-files	ASUS Update	C:\Program Files (x86)\ASUS\Update\1.3.107.159\AsusUpdate.exe	C:\Program Files (x86)\ASUS\Update\1.3.107.159\AsusUpdate.exe
kept	-	auth-kept	program-files	ACE-Service exe	C:\Program Files\AntiCheatExpert\ACE-Service64.exe	C:\Program Files\AntiCheatExpert\ACE-Service64.exe
kept	-	auth-kept	program-files	ps	D:\Program Files\Git\usr\bin\ps.exe	D:\Program Files\Git\usr\bin\ps.exe
kept	-	auth-kept	program-files	Java(TM) Platform SE binary	C:\Program Files\Java\jdk-17\bin\javaw.exe	C:\Program Files\Java\jdk-17\bin\javaw.exe
filtered	2-excluded-name	auth-filtered	program-files	360压缩卸载程序	C:\Program Files (x86)\360\360zip\Uninstaller.exe	C:\Program Files (x86)\360\360zip\Uninstaller.exe
kept	-	auth-kept	program-files	cssdk 服务组件	C:\Program Files (x86)\360\360zip\cssdk.exe	C:\Program Files (x86)\360\360zip\cssdk.exe
kept	-	auth-kept	program-files	less	D:\Program Files\Git\usr\bin\less.exe	D:\Program Files\Git\usr\bin\less.exe
kept	-	auth-kept	program-files	printenv	D:\Program Files\Git\usr\bin\printenv.exe	D:\Program Files\Git\usr\bin\printenv.exe
kept	-	auth-kept	program-files	tiny-agents	C:\Users\17822\AppData\Local\Programs\Python\Python310\Scripts\tiny-agents.exe	C:\Users\17822\AppData\Local\Programs\Python\Python310\Scripts\tiny-agents.exe
kept	-	auth-kept	program-files	AndrowsBox Interface	C:\Program Files\AndrowsBox\ABoxSVC.exe	C:\Program Files\AndrowsBox\ABoxSVC.exe
filtered	2-excluded-name	auth-filtered	program-files	SUPUninstall	C:\Program Files\ldplayer9box\SUPUninstall.exe	C:\Program Files\ldplayer9box\SUPUninstall.exe
kept	-	auth-kept	program-files	nping	C:\Program Files (x86)\Nmap\nping.exe	C:\Program Files (x86)\Nmap\nping.exe
kept	-	auth-kept	start-menu	Blender 3.6	D:\Program Files\Blender Foundation\Blender 3.6\blender-launcher.exe	C:\Users\17822\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\blender\Blender 3.6.lnk
kept	-	auth-kept	program-files	ASUS Framework	C:\Program Files (x86)\InstallShield Installation Information\{339A6383-7862-46DA-8A9D-E84180EF9424}\FrameworkServiceSetup.exe	C:\Program Files (x86)\InstallShield Installation Information\{339A6383-7862-46DA-8A9D-E84180EF9424}\FrameworkServiceSetup.exe
filtered	2-excluded-name	auth-filtered	program-files	Trae Inno Updater	C:\Users\17822\AppData\Local\Programs\TRAE SOLO CN\tools\inno_updater.exe	C:\Users\17822\AppData\Local\Programs\TRAE SOLO CN\tools\inno_updater.exe
kept	-	auth-kept	start-menu	An vm application	C:\Users\17822\AppData\Local\Programs\vm\vm.exe	C:\Users\17822\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\VMWare_安装助手.lnk
kept	-	auth-kept	program-files	code	C:\Users\17822\AppData\Local\Programs\Microsoft VS Code\bin\code.cmd	C:\Users\17822\AppData\Local\Programs\Microsoft VS Code\bin\code.cmd
